user_id,month,day,mb_used
1000,12,26,270.99
1000,12,27,880.22
1000,12,28,660.4
1000,12,29,89.86
1000,12,31,0.0
1001,8,15,210.82
1001,8,16,616.97
1001,8,17,547.6800000000001
1001,8,18,729.29
1001,8,19,131.69
1001,8,20,173.63
1001,8,21,0.0
1001,8,22,215.67
1001,8,23,649.55
1001,8,24,284.68
1001,8,25,1001.33
1001,8,27,106.97
1001,8,28,200.58
1001,8,29,546.77
1001,8,30,0.0
1001,8,31,1503.52
1001,9,1,686.71
1001,9,2,0.0
1001,9,4,42.34
1001,9,5,1349.32
1001,9,6,550.29
1001,9,7,706.59
1001,9,8,421.6
1001,9,9,1109.65
1001,9,11,181.42
1001,9,12,80.0
1001,9,13,0.0
1001,9,16,0.0
1001,9,17,1041.32
1001,9,18,636.77
1001,9,19,1174.73
1001,9,20,260.15
1001,9,21,281.98
1001,9,22,172.1
1001,9,23,1247.21
1001,9,24,910.24
1001,9,25,94.95
1001,9,27,1491.88
1001,9,28,490.3
1001,9,29,29.58
1001,9,30,355.69
1001,10,1,643.67
1001,10,2,866.75
1001,10,3,652.06
1001,10,4,1770.42
1001,10,5,562.1
1001,10,6,57.66
1001,10,8,2092.5
1001,10,9,1796.8
1001,10,10,709.95
1001,10,11,409.07
1001,10,12,778.01
1001,10,13,734.39
1001,10,14,799.55
1001,10,16,0.0
1001,10,17,976.69
1001,10,18,576.35
1001,10,19,1455.65
1001,10,21,596.08
1001,10,22,2462.71
1001,10,23,873.0
1001,10,24,1139.59
1001,10,26,857.0799999999999
1001,10,27,45.03
1001,10,28,501.53
1001,10,31,973.85
1001,11,1,398.85999999999996
1001,11,2,0.0
1001,11,3,417.45
1001,11,4,16.97
1001,11,5,571.63
1001,11,6,953.9200000000001
1001,11,7,315.59
1001,11,9,1704.55
1001,11,10,1106.98
1001,11,11,1026.31
1001,11,12,527.0
1001,11,14,1024.35
1001,11,15,172.14
1001,11,16,760.77
1001,11,17,521.64
1001,11,18,523.9
1001,11,19,977.78
1001,11,20,550.25
1001,11,21,860.77
1001,11,22,404.96
1001,11,23,756.93
1001,11,24,589.63
1001,11,25,288.27
1001,11,26,1090.9
1001,11,27,754.02
1001,11,28,1158.55
1001,11,29,596.61
1001,11,30,433.57
1001,12,2,524.02
1001,12,3,781.1
1001,12,4,1123.95
1001,12,5,739.65
1001,12,7,317.01
1001,12,8,756.7
1001,12,9,1562.96
1001,12,10,14.03
1001,12,11,0.0
1001,12,12,1776.25
1001,12,13,1320.06
1001,12,14,283.31
1001,12,15,425.5
1001,12,16,624.34
1001,12,17,106.54
1001,12,18,1119.44
1001,12,20,649.12
1001,12,21,1319.6999999999998
1001,12,23,440.45
1001,12,24,51.38
1001,12,25,629.16
1001,12,26,845.17
1001,12,27,1294.68
1001,12,28,566.9300000000001
1001,12,29,1629.4900000000002
1001,12,30,19.9
1001,12,31,448.34
1002,10,22,1920.98
1002,10,23,668.82
1002,10,24,847.04
1002,10,25,1170.35
1002,10,26,674.92
1002,10,27,185.18
1002,10,28,29.66
1002,10,29,518.2
1002,10,30,519.42
1002,10,31,17.44
1002,11,3,146.28
1002,11,4,2127.85
1002,11,5,357.76
1002,11,6,1261.76
1002,11,7,420.18
1002,11,8,662.95
1002,11,9,0.0
1002,11,10,852.81
1002,11,12,0.0
1002,11,13,451.19
1002,11,15,807.81
1002,11,16,938.15
1002,11,17,758.46
1002,11,18,782.48
1002,11,19,236.73
1002,11,20,1329.49
1002,11,21,914.73
1002,11,22,670.11
1002,11,23,1297.2
1002,11,25,403.56
1002,11,27,2239.46
1002,11,28,888.52
1002,11,29,555.96
1002,11,30,1241.64
1002,12,2,837.6500000000001
1002,12,3,654.68
1002,12,4,1123.19
1002,12,5,630.22
1002,12,6,109.41
1002,12,7,589.81
1002,12,8,0.0
1002,12,9,35.91
1002,12,10,0.0
1002,12,13,0.0
1002,12,14,1277.62
1002,12,15,475.07
1002,12,16,286.44
1002,12,17,413.67
1002,12,18,888.38
1002,12,19,369.6
1002,12,20,2042.24
1002,12,23,809.65
1002,12,24,877.95
1002,12,26,1043.0700000000002
1002,12,27,0.0
1002,12,29,849.56
1002,12,30,743.31
1002,12,31,338.81
1003,12,17,848.01
1003,12,18,3067.5
1003,12,19,477.9
1003,12,20,1503.19
1003,12,21,2337.88
1003,12,22,2348.3500000000004
1003,12,23,2199.83
1003,12,24,2024.06
1003,12,25,913.22
1003,12,26,1514.37
1003,12,27,576.2
1003,12,28,4297.12
1003,12,29,1947.08
1003,12,30,1653.24
1003,12,31,1336.19
1004,5,24,744.08
1004,5,25,842.29
1004,5,26,1232.63
1004,5,27,1318.51
1004,5,28,39.79
1004,5,29,960.1
1004,5,30,794.31
1004,5,31,615.5
1004,6,1,435.57
1004,6,2,261.33
1004,6,4,1248.85
1004,6,5,453.44
1004,6,6,63.63
1004,6,7,749.61
1004,6,8,1226.74
1004,6,9,1377.96
1004,6,10,836.11
1004,6,11,331.5
1004,6,12,494.69
1004,6,13,1137.1799999999998
1004,6,14,2044.6
1004,6,15,1121.13
1004,6,16,848.8199999999999
1004,6,17,1480.88
1004,6,18,269.69
1004,6,19,1155.35
1004,6,20,896.71
1004,6,21,365.7
1004,6,22,714.27
1004,6,25,476.17
1004,6,26,257.65
1004,6,27,1039.98
1004,6,29,910.48
1004,6,30,474.78000000000003
1004,7,2,158.18
1004,7,3,1072.79
1004,7,4,1996.44
1004,7,5,125.03
1004,7,6,295.94
1004,7,7,2283.61
1004,7,9,967.4999999999999
1004,7,10,756.7
1004,7,11,753.9
1004,7,12,360.95
1004,7,13,1410.3799999999999
1004,7,14,577.22
1004,7,16,835.18
1004,7,17,392.06
1004,7,18,1460.65
1004,7,19,958.6600000000001
1004,7,20,496.97
1004,7,21,1331.65
1004,7,22,640.78
1004,7,23,1422.6599999999999
1004,7,24,2151.66
1004,7,25,491.88
1004,7,26,297.12
1004,7,27,1137.78
1004,7,28,626.85
1004,7,29,925.18
1004,7,31,588.9
1004,8,1,1293.87
1004,8,2,851.5999999999999
1004,8,3,137.57999999999998
1004,8,4,768.1899999999999
1004,8,5,685.0899999999999
1004,8,6,992.31
1004,8,7,788.74
1004,8,8,516.97
1004,8,9,612.0699999999999
1004,8,11,352.61
1004,8,12,1391.1
1004,8,13,584.8399999999999
1004,8,14,1533.05
1004,8,15,940.4300000000001
1004,8,17,942.8599999999999
1004,8,18,16.54
1004,8,19,1598.8600000000001
1004,8,20,703.74
1004,8,21,1631.19
1004,8,22,757.8
1004,8,23,820.72
1004,8,24,1631.8600000000001
1004,8,25,768.25
1004,8,26,1235.6100000000001
1004,8,27,1692.92
1004,8,28,1430.26
1004,8,30,2527.87
1004,8,31,774.8100000000001
1004,9,1,44.92
1004,9,2,399.76
1004,9,3,220.87
1004,9,4,1320.8899999999999
1004,9,5,875.48
1004,9,6,594.53
1004,9,7,1088.29
1004,9,8,451.86
1004,9,9,1030.32
1004,9,10,1843.1299999999999
1004,9,11,353.98
